,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
10,2541 AQUEDUCT AVENUE,2019-01-16,Residential,BRONX,10468,40.865693,-73.901913,Kingsbridge Heights
11,204 SUMPTER STREET,2019-01-14,Residential,BROOKLYN,11233,40.680418,-73.916221,Ocean Hill
12,883 E 165TH STREET,2019-02-21,Residential,BRONX,10459,40.823863,-73.898235,Longwood
19,310 EAST 83RD STREET APARTMENT BW,2019-01-02,Residential,MANHATTAN,10028,40.775695,-73.952648,Yorkville
27,1779 SOUTHERN BLVD,2019-04-10,Residential,BRONX,10460,40.837805,-73.887517,Crotona Park East
28,117-46 140TH STREET,2019-01-22,Residential,QUEENS,11436,40.677834,-73.801372,Baisley Park
34,3141 MICKLE AVENUE,2019-04-30,Residential,BRONX,10469,40.872179,-73.842767,Eastchester-Edenwald-Baychester
47,962 EAST 217TH ST,2019-05-28,Residential,BRONX,10469,40.879857,-73.856357,Williamsbridge-Olinville
55,574 WARREN STREET,2019-03-20,Residential,BROOKLYN,11217,40.681984,-73.982449,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
59,2555 GRAND CONCOURSE,2019-01-23,Residential,BRONX,10468,40.863618,-73.896262,Bedford Park-Fordham North
66,1085 WASHINGTON AVENUE,2019-05-02,Commercial,BRONX,10456,40.828264,-73.909054,Morrisania-Melrose
67,95-17 77TH STREET,2019-06-11,Residential,QUEENS,11416,40.682509,-73.8617,Woodhaven
69,67-40 PARSONS BLVD,2019-05-06,Residential,QUEENS,11365,40.733204,-73.810726,Pomonok-Flushing Heights-Hillcrest
74,1895 SECOND AVENUE,2019-02-22,Residential,MANHATTAN,10029,40.785233,-73.94639,East Harlem South
80,179-03 145TH AVENUE,2019-06-17,Residential,QUEENS,11434,40.665857,-73.765452,Springfield Gardens South-Brookville
86,89-44 162ND STREET,2019-03-21,Residential,QUEENS,11432,40.705606,-73.798498,Jamaica
100,85D EDGEWATER PARK,2019-04-09,Residential,BRONX,10465,40.823542,-73.811253,Schuylerville-Throgs Neck-Edgewater Park
104,22-11 NEW HAVEN AVE,2019-02-27,Residential,QUEENS,11691,40.601049,-73.756061,Far Rockaway-Bayswater
105,2356 RYER AVENUE,2019-04-18,Residential,BRONX,10458,40.858672,-73.898406,Fordham South
108,486 EAST 165TH ST,2019-06-13,Residential,BRONX,10456,40.826858,-73.908904,Morrisania-Melrose
126,87-31 139TH STREET,2019-03-07,Residential,QUEENS,11435,40.705618,-73.815251,Briarwood-Jamaica Hills
127,753 JACKSON AVENUE,2019-02-19,Residential,BRONX,10456,40.818716,-73.906853,Melrose South-Mott Haven North
156,178-33 131ST AVENUE,2019-04-01,Residential,QUEENS,11434,40.678837,-73.762825,St. Albans
179,25 WEST 132ND STREET,2019-02-06,Residential,MANHATTAN,10037,40.811289,-73.940029,Central Harlem North-Polo Grounds
181,74-14 ROCKAWAY BLVD,2019-06-27,Residential,QUEENS,11421,40.686032,-73.865681,Woodhaven
185,148-24 97TH AVENUE,2019-04-26,Residential,QUEENS,11435,40.697947,-73.803898,Jamaica
193,645 WEST 44TH STREET,2019-05-06,Commercial,MANHATTAN,10036,40.762574,-73.998386,Clinton
199,43-18 GREENPOINT AVE NUE,2019-03-08,Commercial,QUEENS,11104,40.741015,-73.921706,Hunters Point-Sunnyside-West Maspeth
201,1144 STRATFORD AVENU E,2019-03-11,Residential,BRONX,10472,40.827894,-73.875183,Soundview-Bruckner
202,758 EAST 152ND STREET,2019-03-14,Residential,BRONX,10455,40.815765,-73.90681,Melrose South-Mott Haven North
205,1530 SHERIDAN AVENUE,2019-03-15,Residential,BRONX,10457,40.841498,-73.911136,East Concourse-Concourse Village
212,375 76TH STREET,2019-04-15,Residential,BROOKLYN,11209,40.630326,-74.026231,Bay Ridge
213,1160 EAST 104TH ST,2019-04-15,Residential,BROOKLYN,11236,40.642815,-73.890717,Canarsie
226,339 WEST 71ST STREET,2019-05-07,Residential,MANHATTAN,10023,40.779454,-73.985738,Lincoln Square
231,2911 BARNES AVENUE,2019-01-09,Residential,BRONX,10467,40.868234,-73.863443,Bronxdale
237,1655 UNDERCLIFF AVEN UE,2019-01-29,Residential,BRONX,10453,40.849424,-73.921759,University Heights-Morris Heights
239,218-34 119TH AVENUE,2019-04-29,Residential,QUEENS,11411,40.692316,-73.743452,Cambria Heights
247,1705 ZEREGA AVENUE,2019-04-25,Residential,BRONX,10462,40.839954,-73.851289,Westchester-Unionport
269,211F WEST 151ST STREET,2019-04-25,Residential,MANHATTAN,10039,40.825595,-73.936674,Central Harlem North-Polo Grounds
277,136-03 218 STREET,2019-06-03,Residential,QUEENS,11413,40.67712,-73.752887,Laurelton
280,160 SCHERMERHORN STR EET,2019-04-29,Residential,BROOKLYN,11201,40.689525,-73.987452,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
286,974 ANDERSON AVENUE,2019-01-14,Residential,BRONX,10452,40.831691,-73.927605,Highbridge
288,34 GRANT AVENUE,2019-01-07,Residential,BROOKLYN,11208,40.690013,-73.868806,Cypress Hills-City Line
290,2137 PITKIN AVENUE,2019-04-15,Residential,BROOKLYN,11207,40.672244,-73.893549,East New York (Pennsylvania Ave)
292,44-03 31 AVENUE,2019-02-15,Residential,QUEENS,11103,40.759764,-73.913761,Astoria
296,115-18 125TH STREET,2019-03-25,Residential,QUEENS,11416,40.67802,-73.814109,South Ozone Park
301,67 PRESIDENT STREET,2019-06-19,Residential,STATEN ISLAND,10314,40.604187,-74.13548,New Springville-Bloomfield-Travis
302,627 MANIDA STREET,2019-05-28,Residential,BRONX,10474,40.81268,-73.887931,Hunts Point
313,1452 BEACH AVENUE,2019-03-14,Residential,BRONX,10460,40.83657,-73.867079,West Farms-Bronx River
319,229-03 148TH AVENUE,2019-01-09,Residential,QUEENS,11413,40.656648,-73.75376,Springfield Gardens South-Brookville
323,530 WEST 45TH STREET,2019-04-10,Residential,MANHATTAN,10036,40.762132,-73.995473,Clinton
324,1210 WOODYCREST AVE,2019-01-03,Residential,BRONX,10452,40.837198,-73.924466,Highbridge
327,994 EAST 180 STREET,2019-02-19,Residential,BRONX,10460,40.843357,-73.879505,East Tremont
