,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
31,265 EAST 194TH  STRE ET A/K/A 265-269 EAST 194TH STREET,2020-03-12,Residential,BRONX,10458,40.864883,-73.892518,Bedford Park-Fordham North
91,1793 SEDGWICK AVENUE AKA 1800-08 CEDAR AVENUE,2020-01-02,Residential,BRONX,10453,40.852354,-73.920086,University Heights-Morris Heights
106,619 MILLER AVENUE,2020-03-11,Residential,BROOKLYN,11207,40.665189,-73.889304,East New York
113,70 FLEET STREET A/K/ A 7 DEKALB AVENUE,2020-03-11,Residential,BROOKLYN,11201,40.690713,-73.982565,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
118,3459 EASTCHESTER   R OAD,2020-01-23,Residential,BRONX,10469,40.877979,-73.846894,Eastchester-Edenwald-Baychester
138,165 CONOVER STREET,2020-01-15,Residential,BROOKLYN,11231,40.678282,-74.013996,Carroll Gardens-Columbia Street-Red Hook
144,966 SOUTHERN BLVD.,2020-01-09,Commercial,BRONX,10459,40.822241,-73.891731,Hunts Point
207,2172 AMSTERDAM AVENUE A/K/A 2172-2174 AMSTERDAM AVENUE,2020-03-10,Commercial,MANHATTAN,10032,40.839602,-73.93712,Washington Heights South
208,2172 AMSTERDAM AVENUE A/K/A 2172-2174 AMSTERDAM AVENUE,2020-03-10,Commercial,MANHATTAN,10032,40.839602,-73.93712,Washington Heights South
211,1175 FINDLAY AVENUE,2020-01-23,Residential,BRONX,10456,40.832271,-73.912652,East Concourse-Concourse Village
276,255-09 147TH DRIVE,2020-01-07,Residential,QUEENS,11422,40.655814,-73.733861,Rosedale
283,121 ST.NICHOLAS AVE A/K/A 201-203 WEST 116TH STREET,2020-02-11,Commercial,MANHATTAN,10026,40.803703,-73.952707,Central Harlem South
285,1986 HOBART AVE,2020-01-23,Residential,BRONX,10461,40.851127,-73.831102,Pelham Bay-Country Club-City Island
317,1745 PRESIDENT ST,2020-02-05,Residential,BROOKLYN,11213,40.666917,-73.929273,Crown Heights North
337,1997 DAVIDSON AVENUE,2020-02-27,Residential,BRONX,10453,40.852752,-73.909483,University Heights-Morris Heights
342,128 WYTHE AVENUE,2020-01-07,Residential,BROOKLYN,11249,40.72055,-73.959343,North Side-South Side
377,226 E 74TH STREET,2020-01-02,Residential,MANHATTAN,10021,40.770741,-73.958897,Lenox Hill-Roosevelt Island
387,19 EAST VAN CORTLANDT AVENUE,2020-02-19,Residential,BRONX,10468,40.877261,-73.886484,Bedford Park-Fordham North
406,575 80TH STREET,2020-02-18,Residential,BROOKLYN,11209,40.624735,-74.022407,Bay Ridge
417,19 EAST VAN CORTLANDT AVENUE,2020-02-19,Residential,BRONX,10468,40.877261,-73.886484,Bedford Park-Fordham North
419,230 LOTT AVENUE,2020-02-21,Residential,BROOKLYN,11212,40.658319,-73.905152,Brownsville
482,86-54 208TH STREET,2020-02-24,Residential,QUEENS,11427,40.724093,-73.761314,Jamaica Estates-Holliswood
489,2039 SECOND AVENUE,2020-01-30,Residential,MANHATTAN,10029,40.789774,-73.943068,East Harlem South
509,2026 WESTCHESTER AVE NUE,2020-01-14,Residential,BRONX,10462,40.833662,-73.856695,Westchester-Unionport
553,706 BROOK AVE,2020-01-21,Residential,BRONX,10455,40.819223,-73.912484,Melrose South-Mott Haven North
556,24 MONUMENT WALK,2020-01-10,Residential,BROOKLYN,11205,40.695491,-73.979531,Fort Greene
598,1140 NEW YORK AVENUE,2020-02-25,Residential,BROOKLYN,11203,40.645566,-73.946113,Erasmus
599,2351 HAVILAND AVENUE,2020-01-29,Residential,BRONX,10462,40.831115,-73.846088,Westchester-Unionport
600,2351 HAVILAND AVENUE,2020-01-29,Residential,BRONX,10462,40.831115,-73.846088,Westchester-Unionport
673,3343 PAULDING AVENUE,2020-02-06,Residential,BRONX,10469,40.874195,-73.858333,Williamsbridge-Olinville
674,3343 PAULDING AVENUE,2020-02-06,Residential,BRONX,10469,40.874195,-73.858333,Williamsbridge-Olinville
683,518 PENNSYLVANIA AVENUE,2020-03-05,Residential,BROOKLYN,11207,40.664408,-73.893966,East New York (Pennsylvania Ave)
689,137 BAY 17TH STREET APT. 1F,2020-01-03,Residential,BROOKLYN,11214,40.604928,-74.006284,Bath Beach
721,114-24 172ND STREET,2020-03-11,Residential,QUEENS,11434,40.691334,-73.777896,St. Albans
724,97-27 132ND STREET,2020-01-06,Residential,QUEENS,11419,40.694008,-73.81586,Richmond Hill
757,2204 FULTON STREET,2020-01-22,Residential,BROOKLYN,11233,40.678134,-73.908275,Ocean Hill
843,83-33 118TH STREET,2020-02-14,Residential,QUEENS,11415,40.706235,-73.834603,Kew Gardens
861,1358 FINDLAY AVENUE,2020-01-09,Residential,BRONX,10456,40.83674,-73.909849,East Concourse-Concourse Village
869,644 NEW YORK AVENUE UNIT 3,2020-02-19,Residential,BROOKLYN,11203,40.658539,-73.947497,Prospect Lefferts Gardens-Wingate
905,74-78 POST AVENUE,2020-01-23,Residential,MANHATTAN,10034,40.863776,-73.922187,Marble Hill-Inwood
906,74-78 POST AVENUE,2020-01-23,Residential,MANHATTAN,10034,40.863776,-73.922187,Marble Hill-Inwood
913,745 EAST 223RD ST,2020-01-28,Residential,BRONX,10466,40.885952,-73.859819,Williamsbridge-Olinville
938,563 BEACH 67TH STREET,2020-02-14,Residential,QUEENS,11692,40.596157,-73.796502,Hammels-Arverne-Edgemere
950,119-45 SUTPHIN BLVD,2020-02-18,Residential,QUEENS,11434,40.678417,-73.791358,Baisley Park
972,160 EAST 117 STREET,2020-01-02,Residential,MANHATTAN,10035,40.799094,-73.940658,East Harlem North
974,70 AMSTERDAM AVENUE,2020-03-04,Residential,MANHATTAN,10023,40.772638,-73.986003,Lincoln Square
975,70 AMSTERDAM AVENUE,2020-03-04,Residential,MANHATTAN,10023,40.772638,-73.986003,Lincoln Square
980,1945 HUNT AVENUE,2020-01-10,Residential,BRONX,10462,40.849027,-73.865995,Van Nest-Morris Park-Westchester Square
981,1945 HUNT AVENUE,2020-01-10,Residential,BRONX,10462,40.849027,-73.865995,Van Nest-Morris Park-Westchester Square
993,1122 INTERVALE AVENUE,2020-01-21,Residential,BRONX,10459,40.826974,-73.896391,Longwood
994,1122 INTERVALE AVENUE,2020-01-21,Residential,BRONX,10459,40.826974,-73.896391,Longwood
1011,885 SIXTH AVENUE,2020-03-10,Residential,MANHATTAN,10001,40.748189,-73.988963,Midtown-Midtown South
1017,1512 PARK PLACE,2020-01-27,Residential,BROOKLYN,11213,40.672153,-73.927065,Crown Heights North
1061,621 LEFFERTS AVE,2020-02-05,Residential,BROOKLYN,11203,40.662971,-73.940966,Crown Heights South
1063,2131 8TH AVENUE,2020-02-20,Commercial,MANHATTAN,10026,40.803893,-73.955766,Central Harlem South
1089,1727 STEPHEN STREET,2020-03-02,Residential,QUEENS,11385,40.697984,-73.901565,Ridgewood
1123,2701 MARION AVENUE,2020-01-14,Residential,BRONX,10458,40.865531,-73.889693,Bedford Park-Fordham North
1124,1322 EAST 65TH STREE T,2020-03-09,Residential,BROOKLYN,11234,40.621326,-73.916443,Georgetown-Marine Park-Bergen Beach-Mill Basin
1133,18-15 215TH STREET,2020-01-29,Residential,QUEENS,11360,40.783752,-73.776303,Ft. Totten-Bay Terrace-Clearview
1175,3022 PAULDING AVENUE,2020-01-23,Residential,BRONX,10469,40.869946,-73.858519,Allerton-Pelham Gardens
1176,3022 PAULDING AVENUE,2020-01-23,Residential,BRONX,10469,40.869946,-73.858519,Allerton-Pelham Gardens
1245,2203 BELMONT AVENUE,2020-01-06,Residential,BRONX,10458,40.851229,-73.887884,Belmont
1246,2203 BELMONT AVENUE,2020-01-06,Residential,BRONX,10458,40.851229,-73.887884,Belmont
1288,165 QUINCY STREET,2020-02-13,Residential,BROOKLYN,11216,40.686582,-73.953991,Bedford
1297,2326 GLEASON AVENUE,2020-02-18,Residential,BRONX,10462,40.832469,-73.846948,Westchester-Unionport
1308,2803 BOSTON ROAD,2020-03-05,Commercial,BRONX,10469,40.866907,-73.860554,Allerton-Pelham Gardens
1326,38-07 27TH STREET,2020-03-10,Residential,QUEENS,11101,40.755184,-73.935218,Queensbridge-Ravenswood-Long Island City
1363,2041 PACIFIC ST.,2020-02-24,Residential,BROOKLYN,11233,40.676051,-73.920294,Ocean Hill
1386,364 95TH STREET,2020-02-14,Residential,BROOKLYN,11209,40.616469,-74.032111,Bay Ridge
1395,503 BEVERLY ROAD,2020-02-14,Residential,BROOKLYN,11218,40.64318,-73.975292,Kensington-Ocean Parkway
1411,706 LEFFERTS AVENUE,2020-01-17,Residential,BROOKLYN,11203,40.663148,-73.937837,Prospect Lefferts Gardens-Wingate
1433,83-31 116TH STREET,2020-02-04,Residential,QUEENS,11418,40.705638,-73.836033,Kew Gardens
1459,340 EAST 184TH ST,2020-01-29,Residential,BRONX,10458,40.858098,-73.89567,Fordham South
1478,12 EAST 213TH STREET,2020-03-02,Residential,BRONX,10467,40.885002,-73.878848,Norwood
1578,1062-1064 BROOK AVEN UE  ##,2020-02-11,Commercial,BRONX,10467,40.828556,-73.911381,East Concourse-Concourse Village
1597,23-94 MOTT AVENUE,2020-02-20,Residential,QUEENS,11691,40.607114,-73.762251,Far Rockaway-Bayswater
