,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
1,7322 BAY PARKWAY,2019-07-08,Residential,BROOKLYN,11204,40.608891,-73.986599,Bensonhurst West
3,2080 FIRST AVENUE,2019-07-11,Residential,MANHATTAN,10029,40.790612,-73.939333,East Harlem South
6,1991 BATHGATE AVENUE,2019-09-13,Residential,BRONX,10457,40.848728,-73.89613,Claremont-Bathgate
23,145-06 106TH AVENUE,2019-11-15,Residential,QUEENS,11435,40.692359,-73.806132,Jamaica
26,137-38 NORTHERN BLVD,2019-11-29,Commercial,QUEENS,11354,40.763524,-73.829743,Flushing
37,130 DUMONT AVENUE,2019-07-17,Residential,BROOKLYN,11212,40.663227,-73.915057,Brownsville
38,101 BAINBRIDGE ST,2019-07-22,Residential,BROOKLYN,11233,40.680723,-73.933267,Crown Heights North
40,254 EAST 110TH STREE T,2019-08-20,Residential,MANHATTAN,10029,40.793619,-73.941612,East Harlem North
49,857 GERARD AVENUE,2019-07-03,Commercial,BRONX,10451,40.827112,-73.925189,West Concourse
52,511 EAST 83RD STREET,2019-10-03,Residential,MANHATTAN,10028,40.773767,-73.948024,Yorkville
62,2497 GRAND AVENUE,2019-10-29,Residential,BRONX,10468,40.864378,-73.902089,Kingsbridge Heights
71,718 PENFIELD STREET,2019-10-24,Residential,BRONX,10470,40.904888,-73.849089,Woodlawn-Wakefield
76,2407 BEAUMONT AVENUE APT. 12,2019-07-09,Residential,BRONX,10458,40.854445,-73.884322,Belmont
77,2159 SOUTHERN BOULEV ARD,2019-12-09,Residential,BRONX,10460,40.847292,-73.88346,East Tremont
81,627 MANIDA STREET,2019-07-25,Residential,BRONX,10474,40.81268,-73.887931,Hunts Point
94,2063 EAST 35TH STREE T,2019-09-25,Residential,BROOKLYN,11234,40.608303,-73.930999,Georgetown-Marine Park-Bergen Beach-Mill Basin
96,2831 BRIGHTON 4TH ST REET,2019-09-25,Residential,BROOKLYN,11235,40.582114,-73.964302,Brighton Beach
98,14-68 BEACH CHANNEL DRIVE,2019-09-23,Residential,QUEENS,11691,40.610014,-73.753582,Far Rockaway-Bayswater
115,3304 PAULDING AVENUE,2019-09-03,Residential,BRONX,10469,40.8733,-73.85841,Williamsbridge-Olinville
119,114 ELLIOT PLACE,2019-09-04,Residential,BRONX,10452,40.838693,-73.915784,West Concourse
120,321 MILFORD STREET,2019-08-30,Residential,BROOKLYN,11208,40.671371,-73.876287,East New York
133,54-30 BEACH CHANNEL DRIVE,2019-07-12,Residential,QUEENS,11692,40.594993,-73.78584,Hammels-Arverne-Edgemere
141,2927 VALENTINE AVENUE,2019-08-01,Residential,BRONX,10458,40.870969,-73.887471,Bedford Park-Fordham North
159,3137 SEYMOUR AVENUE,2019-09-23,Residential,BRONX,10469,40.871245,-73.846378,Eastchester-Edenwald-Baychester
165,1847 PHELAN PLACE,2019-08-15,Residential,BRONX,10453,40.853282,-73.916423,University Heights-Morris Heights
168,140 DE KRUIF PLACE,2019-12-06,Residential,BRONX,10475,40.875412,-73.829135,Co-op City
175,140-22 QUINCE AVENUE,2019-09-17,Residential,QUEENS,11355,40.746857,-73.814465,East Flushing
180,3510 AVE H,2019-10-28,Residential,BROOKLYN,11210,40.631964,-73.942514,Flatlands
183,2320 GRAND AVE,2019-07-31,Residential,BRONX,10468,40.860563,-73.904755,Kingsbridge Heights
195,18 HILL STREET,2019-11-21,Residential,BROOKLYN,11208,40.678665,-73.872235,Cypress Hills-City Line
196,389 MONROE STREET,2019-09-13,Residential,BROOKLYN,11221,40.686418,-73.942399,Bedford
220,2519 WOODHULL AVENUE,2019-12-19,Residential,BRONX,10469,40.863356,-73.841758,Allerton-Pelham Gardens
221,2519 WOODHULL AVENUE,2019-12-19,Residential,BRONX,10469,40.863356,-73.841758,Allerton-Pelham Gardens
