,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
4,98-01 67TH AVENUE,2018-06-22,Residential,QUEENS,11374,40.72389,-73.855697,Forest Hills
9,1460 BEACH AVENUE,2018-04-30,Residential,BRONX,10460,40.836883,-73.867136,West Farms-Bronx River
15,75 WOODBINE STREET,2018-03-19,Residential,BROOKLYN,11221,40.690836,-73.918419,Bushwick South
16,755 DREW STREET,2018-04-04,Residential,BROOKLYN,11208,40.671584,-73.861413,East New York
18,1441 REMSEN AVENUE,2018-05-22,Residential,BROOKLYN,11236,40.635699,-73.900907,Canarsie
22,1602 CORNELIA STREET UNIT: %STORE,2018-02-27,Commercial,QUEENS,11385,40.698165,-73.907663,Ridgewood
25,230 EAST 26TH STREET,2018-01-10,Residential,BROOKLYN,11226,40.644032,-73.952741,Erasmus
29,1201 EAST 94TH STREE T,2018-03-29,Residential,BROOKLYN,11233,40.641357,-73.9022,Canarsie
36,1806 FIRST AVENUE,2018-05-14,Residential,MANHATTAN,10128,40.781684,-73.945848,Yorkville
41,3017 PAULDING AVENUE,2018-05-23,Residential,BRONX,10469,40.86991,-73.858541,Allerton-Pelham Gardens
44,1339 LINCOLN PLACE,2018-05-03,Residential,BROOKLYN,11213,40.669814,-73.932247,Crown Heights North
53,40-38 82ND STREET,2018-02-27,Residential,QUEENS,11373,40.746495,-73.883741,Elmhurst
54,1611 MAHAN AVENUE,2018-01-16,Residential,BRONX,10461,40.84507,-73.827807,Pelham Bay-Country Club-City Island
61,103-07 118TH STREET,2018-02-28,Residential,QUEENS,11419,40.687387,-73.825704,South Ozone Park
68,1235 UNION AVENUE,2018-04-25,Residential,BRONX,10459,40.829685,-73.898981,Morrisania-Melrose
85,40 RICHMAN PLAZA,2018-01-16,Residential,BRONX,10453,40.852084,-73.922436,University Heights-Morris Heights
97,83-45 VIETOR AVENUE,2018-06-06,Residential,QUEENS,11373,40.742696,-73.881647,Elmhurst
99,257 GOLD STREET,2018-01-18,Residential,BROOKLYN,11201,40.696872,-73.983148,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
114,43-23 42ND STREET,2018-04-27,Residential,QUEENS,11104,40.744847,-73.922146,Hunters Point-Sunnyside-West Maspeth
123,1314 MERRIAM AVENUE,2018-02-21,Residential,BRONX,10452,40.840723,-73.926117,Highbridge
128,550 EAST 21ST STREET,2018-01-24,Residential,BROOKLYN,11226,40.640716,-73.958192,Flatbush
135,183 GRAFTON STREET,2018-04-26,Residential,BROOKLYN,11212,40.663701,-73.917958,Brownsville
142,2084 GRAND AVENUE,2018-05-15,Residential,BRONX,10453,40.855298,-73.9082,University Heights-Morris Heights
148,97-20 57TH AVENUE,2018-03-06,Residential,QUEENS,11368,40.737335,-73.863441,Corona
157,30-21 41ST STREET,2018-01-17,Residential,QUEENS,11103,40.763031,-73.91458,Astoria
158,31-21 31ST STREET,2018-02-16,Residential,QUEENS,11106,40.76365,-73.924012,Astoria
166,2501 DAVIDSON AVENUE,2018-05-22,Residential,BRONX,10468,40.86446,-73.900982,Kingsbridge Heights
182,120 WEST 183 STREET,2018-03-28,Residential,BRONX,10453,40.859892,-73.91015,Kingsbridge Heights
189,12-14 30TH DRIVE A/K/A 1214 30TH DRIVE,2018-01-03,Residential,QUEENS,11105,40.7696,-73.932507,Old Astoria
190,951 PROSPECT PLACE,2018-02-02,Residential,BROOKLYN,11213,40.674051,-73.9452,Crown Heights North
192,501 NEW YORK AVENUE,2018-02-01,Commercial,BROOKLYN,11225,40.662898,-73.947941,Prospect Lefferts Gardens-Wingate
216,2311 SOUTHERN BLVD,2018-06-19,Residential,BRONX,10460,40.850963,-73.882362,Belmont
219,1252 WEST FARMS ROAD,2018-03-07,Residential,BRONX,10459,40.82903,-73.888012,Morrisania-Melrose
227,790 GRAND CONCOURSE,2018-04-10,Residential,BRONX,10451,40.824624,-73.92392,East Concourse-Concourse Village
230,63-54 FOREST AVENUE,2018-06-01,Residential,QUEENS,11385,40.709657,-73.904603,Ridgewood
234,1534 SELWYN AVE,2018-03-05,Residential,BRONX,10457,40.841242,-73.910388,East Concourse-Concourse Village
242,2228 GRAND AVENUE,2018-03-13,Residential,BRONX,10453,40.858055,-73.906277,University Heights-Morris Heights
245,45 EAST 131ST ST - APT 5G,2018-06-25,Residential,MANHATTAN,10037,40.809385,-73.93752,Central Harlem North-Polo Grounds
246,1295 5TH AVENUE,2018-04-09,Residential,MANHATTAN,10029,40.797152,-73.949013,East Harlem South
248,1800 OCEAN PARKWAY,2018-05-08,Residential,BROOKLYN,11223,40.604935,-73.966832,Homecrest
252,85 TAYLOR STREET,2018-05-29,Residential,BROOKLYN,11249,40.704921,-73.964665,Williamsburg
254,140-70 ASH AVENUE,2018-04-18,Residential,QUEENS,11358,40.756017,-73.822193,Flushing
256,54-49 ALMEDA AVENUE,2018-01-29,Residential,QUEENS,11692,40.597597,-73.786951,Hammels-Arverne-Edgemere
262,57-07 SHORE FRONT PARKWAY,2018-01-17,Residential,QUEENS,11692,40.592085,-73.786713,Hammels-Arverne-Edgemere
263,1605 WALTON AVENUE,2018-06-01,Residential,BRONX,10452,40.84387,-73.912882,Mount Hope
268,1640 OCEAN PARKWAY,2018-01-12,Residential,BROOKLYN,11223,40.608643,-73.967547,Homecrest
273,260 EAST 46TH STREET,2018-01-24,Residential,BROOKLYN,11203,40.655672,-73.93472,East Flatbush-Farragut
274,1555 BRYANT AVENUE,2018-06-05,Residential,BRONX,10460,40.833725,-73.886765,Crotona Park East
281,175-10 A 56 AVENUE,2018-04-20,Residential,QUEENS,11365,40.742864,-73.794119,Auburndale
308,915 EAST 229TH STREET,2018-06-20,Residential,BRONX,10466,40.888578,-73.852428,Williamsbridge-Olinville
320,756 EAST 175 STREET,2018-01-18,Residential,BRONX,10457,40.84181,-73.89171,East Tremont
336,5 DELAVAN STREET,2018-06-11,Residential,BROOKLYN,11231,40.678634,-74.006421,Carroll Gardens-Columbia Street-Red Hook
340,133-28 142ND STREET,2018-04-30,Residential,QUEENS,11436,40.668948,-73.797552,Baisley Park
343,1524 OVERING STREET,2018-05-29,Residential,BRONX,10461,40.841309,-73.846248,Van Nest-Morris Park-Westchester Square
352,2391 BEDFORD AVE,2018-03-07,Residential,BROOKLYN,11226,40.645507,-73.955082,Erasmus
353,418 NEW JERSEY AVE,2018-02-08,Residential,BROOKLYN,11207,40.669028,-73.894117,East New York (Pennsylvania Ave)
355,774 ROCKAWAY AVENUE,2018-06-14,Residential,BROOKLYN,11212,40.66071,-73.908457,Brownsville
356,425 JEROME STREET,2018-04-30,Residential,BROOKLYN,11207,40.671197,-73.88619,East New York
359,601 CROWN STREET,2018-04-19,Residential,BROOKLYN,11213,40.665621,-73.938397,Crown Heights South
361,109-25 156TH ST.,2018-02-13,Residential,QUEENS,11433,40.692323,-73.79478,South Jamaica
374,631 EDGECOMBE AVENUE,2018-01-18,Residential,MANHATTAN,10032,40.837296,-73.936656,Washington Heights South
376,1798 BEDFORD AVENUE,2018-01-03,Residential,BROOKLYN,11225,40.662081,-73.957064,Prospect Lefferts Gardens-Wingate
380,2505 AQUEDUCT AVENUE,2018-05-07,Residential,BRONX,10468,40.865194,-73.90229,Kingsbridge Heights
383,153-27 73RD AVE,2018-01-08,Residential,QUEENS,11367,40.726756,-73.813767,Kew Gardens Hills
384,168 WEST 77TH STR,2018-02-02,Residential,MANHATTAN,10024,40.781401,-73.978248,Upper West Side
385,2313 CRESTON AVENUE,2018-02-05,Residential,BRONX,10468,40.858281,-73.900641,Fordham South
399,854 DRIGGS AVENUE,2018-06-25,Residential,BROOKLYN,11211,40.709638,-73.962365,North Side-South Side
412,771 EAST 185TH STREET,2018-01-25,Residential,BRONX,10460,40.852437,-73.882818,Belmont
414,1304 GRAND CONCOURSE,2018-02-13,Residential,BRONX,10456,40.836821,-73.915428,East Concourse-Concourse Village
415,501 NEW YORK AVENUE,2018-01-18,Residential,BROOKLYN,11225,40.662898,-73.947941,Prospect Lefferts Gardens-Wingate
420,1640 AMSTERDAM AVENUE,2018-05-16,Residential,MANHATTAN,10031,40.822788,-73.949406,Hamilton Heights
423,203 WEST 133RD STREET,2018-06-25,Residential,MANHATTAN,10030,40.814214,-73.945113,Central Harlem North-Polo Grounds
424,10510 AVENUE J SECOND FLOOR,2018-04-11,Residential,BROOKLYN,11236,40.646094,-73.892485,Canarsie
426,91-21 195TH STREET AKA 9121 195TH STREE,2018-02-16,Residential,QUEENS,11423,40.712909,-73.765953,Hollis
433,570 BLAKE AVENUE,2018-02-05,Residential,BROOKLYN,11207,40.667344,-73.898099,East New York (Pennsylvania Ave)
435,2693 MORRIS AVENUE,2018-04-05,Residential,BRONX,10468,40.867735,-73.895778,Van Cortlandt Village
438,645 WEST 44TH STREET,2018-01-30,Commercial,MANHATTAN,10036,40.762574,-73.998386,Clinton
440,803-805 EAST 182ND STREET,2018-05-02,Residential,BRONX,10460,40.848799,-73.883949,Belmont
444,1750 SEDGWICK AVENUE,2018-03-14,Residential,BRONX,10453,40.851186,-73.921508,University Heights-Morris Heights
452,149 WEST 4TH STREET,2018-01-10,Residential,MANHATTAN,10012,40.731515,-74.000545,West Village
454,118 SCRIBNER AVENUE,2018-02-27,Residential,STATEN ISLAND,10301,40.637968,-74.086006,West New Brighton-New Brighton-St. George
460,697 FRANKLIN AVENUE,2018-01-30,Residential,BROOKLYN,11238,40.674693,-73.956505,Crown Heights North
467,1706 NELSON AVENUE,2018-06-05,Residential,BRONX,10453,40.848347,-73.916823,University Heights-Morris Heights
471,2322-28 HUGHES AVE AKA 611-617 CRESCENT AVE,2018-01-10,Residential,BRONX,10458,40.853733,-73.888083,Belmont
477,210 MARINE AVENUE,2018-06-28,Residential,BROOKLYN,11209,40.615257,-74.034834,Bay Ridge
493,201 HAMILTON AVENUE,2018-06-19,Residential,STATEN ISLAND,10301,40.645161,-74.083968,West New Brighton-New Brighton-St. George
505,465 WYONA ST - APT 1,2018-03-05,Residential,BROOKLYN,11207,40.667283,-73.891744,East New York (Pennsylvania Ave)
506,234 LINDEN BLVD,2018-02-16,Residential,BROOKLYN,11226,40.652595,-73.95054,Prospect Lefferts Gardens-Wingate
516,102-25 67TH DRIVE,2018-04-17,Residential,QUEENS,11375,40.72636,-73.851092,Forest Hills
523,1948 BATHGATE AVENUE,2018-02-28,Residential,BRONX,10457,40.847749,-73.896659,Claremont-Bathgate
525,55 WEST 100TH STREET,2018-04-16,Residential,MANHATTAN,10025,40.794872,-73.964451,Upper West Side
527,257-02 CRAFT AVENUE,2018-04-13,Residential,QUEENS,11422,40.650746,-73.731395,Rosedale
544,303 WEST 42ND STREET,2018-05-31,Commercial,MANHATTAN,10036,40.757436,-73.990254,Clinton
549,2911 WEST 36TH ST. APT. 10M,2018-02-08,Residential,BROOKLYN,11224,40.574387,-74.001656,Seagate-Coney Island
559,86-45 ST.JAMES AVENU E,2018-04-27,Residential,QUEENS,11373,40.740135,-73.878223,Elmhurst
567,2960 DECATUR AVENUE,2018-01-17,Residential,BRONX,10458,40.868338,-73.883683,Bedford Park-Fordham North
569,64-25 C 186TH LANE   UNIT C,2018-01-10,Residential,QUEENS,11365,40.738012,-73.786863,Fresh Meadows-Utopia
573,10 HANOVER SQUARE,2018-04-18,Residential,MANHATTAN,10005,40.704328,-74.00923,Battery Park City-Lower Manhattan
582,44 LOTT AVENUE,2018-05-14,Residential,BROOKLYN,11212,40.657268,-73.912225,Brownsville
590,780 MADISON AVENUE,2018-02-08,Residential,MANHATTAN,10065,40.768243,-73.968029,Upper East Side-Carnegie Hill
595,12 EAST 196 ST,2018-04-11,Commercial,BRONX,10468,40.869052,-73.89566,Van Cortlandt Village
601,593 NEW LOTS AVENUE,2018-05-11,Residential,BROOKLYN,11207,40.664503,-73.887077,East New York
611,69-57 BAYFIELD AVENUE   SUITE PH,2018-05-14,Residential,QUEENS,11692,40.598829,-73.800141,Hammels-Arverne-Edgemere
613,777 MACE AVENUE,2018-03-27,Residential,BRONX,10467,40.863168,-73.864339,Bronxdale
636,559 WEST 156TH STREET A/K/A 3764 BROADWAY,2018-03-16,Commercial,MANHATTAN,10032,40.833161,-73.94466,Washington Heights South
641,2442 MORRIS AVENUE,2018-06-13,Residential,BRONX,10468,40.861747,-73.899869,Fordham South
650,2625 GRAND CONCOURSE,2018-03-23,Residential,BRONX,10468,40.865154,-73.895088,Bedford Park-Fordham North
663,282 EAST GUN HILL ROAD,2018-02-21,Residential,BRONX,10467,40.879338,-73.874931,Norwood
666,536 ISHAM STREET,2018-05-08,Residential,MANHATTAN,10034,40.866697,-73.918854,Marble Hill-Inwood
668,125-13 111TH AVE,2018-04-27,Residential,QUEENS,11420,40.682151,-73.815568,South Ozone Park
678,109-29 SUTPHIN BLVD - APT 2-A,2018-01-19,Residential,QUEENS,11435,40.690871,-73.797493,South Jamaica
679,753 FOX STREET,2018-05-22,Residential,BRONX,10455,40.815678,-73.898222,Longwood
681,3560 WEBSTER AVENUE,2018-02-08,Residential,BRONX,10467,40.880854,-73.87065,park-cemetery-etc-Bronx
682,8413 AVENUE K UNIT 2A,2018-02-09,Residential,BROOKLYN,11203,40.634314,-73.906386,Canarsie
685,350 MARCUS GARVEY BLVD,2018-01-10,Residential,BROOKLYN,11221,40.68504,-73.938466,Stuyvesant Heights
694,1022 E 81ST ST,2018-03-27,Residential,BROOKLYN,11236,40.633851,-73.910119,Canarsie
696,2186 FIFTH AVENUE,2018-01-26,Residential,MANHATTAN,10037,40.811593,-73.938494,Central Harlem North-Polo Grounds
697,1985 BEDFORD AVENUE,2018-05-09,Residential,BROOKLYN,11225,40.656407,-73.956434,Prospect Lefferts Gardens-Wingate
700,275 SEVENTH AVENUE,2018-02-13,Commercial,MANHATTAN,10001,40.745743,-73.994435,Hudson Yards-Chelsea-Flatiron-Union Square
701,20-69 SHORE BLVD,2018-02-26,Residential,QUEENS,11105,40.784346,-73.91669,Steinway
707,1161 BEDFORD AVENUE,2018-01-04,Residential,BROOKLYN,11216,40.683804,-73.953986,Bedford
714,1213 NEILSON STREET,2018-03-20,Residential,QUEENS,11691,40.606746,-73.74906,Far Rockaway-Bayswater
718,189-28 QUENCER ROAD,2018-06-07,Residential,QUEENS,11412,40.695484,-73.764082,St. Albans
725,436 E 96 STREET,2018-02-26,Residential,BROOKLYN,11212,40.656915,-73.91682,Rugby-Remsen Village
729,73-28 58TH AVENUE,2018-02-27,Residential,QUEENS,11378,40.726152,-73.88781,Maspeth
743,623 MANIDA STREET,2018-05-10,Residential,BRONX,10474,40.812617,-73.887917,Hunts Point
756,534 RALPH AVENUE,2018-01-23,Residential,BROOKLYN,11233,40.671194,-73.922376,Crown Heights North
759,185 BENZIGER AVENUE,2018-02-06,Residential,STATEN ISLAND,10301,40.639605,-74.084336,West New Brighton-New Brighton-St. George
771,680 E 81ST STREET,2018-01-17,Residential,BROOKLYN,11236,40.637711,-73.914423,Canarsie
778,230 LOTT AVENUE,2018-04-06,Residential,BROOKLYN,11212,40.658319,-73.905152,Brownsville
789,194-01 D 64TH CIRCLE  UNIT 1A,2018-04-12,Residential,QUEENS,11365,40.740465,-73.781919,Fresh Meadows-Utopia
798,170 PARKSIDE AVENUE,2018-06-28,Residential,BROOKLYN,11226,40.654663,-73.962414,Flatbush
800,2333 WEBSTER AVENUE,2018-01-25,Residential,BRONX,10458,40.857332,-73.894898,Fordham South
806,2865 UNIVERSITY AVENUE,2018-04-03,Residential,BRONX,10468,40.872761,-73.898829,Van Cortlandt Village
821,1765 TOWNSEND AVE,2018-04-04,Residential,BRONX,10453,40.847761,-73.911167,Mount Hope
826,334 49TH STREET,2018-05-29,Residential,BROOKLYN,11220,40.647708,-74.013135,Sunset Park West
833,3736 TENTH AVENUE,2018-05-23,Residential,MANHATTAN,10034,40.860063,-73.922148,Marble Hill-Inwood
842,545 85TH STREET,2018-04-05,Residential,BROOKLYN,11209,40.621595,-74.024744,Bay Ridge
850,1104 ELDER AVENUE,2018-01-17,Residential,BRONX,10472,40.826487,-73.878672,Soundview-Bruckner
867,152 BEACH 118TH STREET,2018-01-16,Residential,QUEENS,11694,40.578303,-73.838376,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
871,22-14 127TH STREET,2018-04-05,Residential,QUEENS,11356,40.779768,-73.84153,College Point
872,401 BRONX RIVER AVEN UE,2018-02-22,Residential,BRONX,10473,40.814767,-73.867885,Soundview-Castle Hill-Clason Point-Harding Park
873,2240 7TH AVE AKA ADAM CLAYTON POWELL,2018-05-04,Residential,MANHATTAN,10027,40.813257,-73.945211,Central Harlem North-Polo Grounds
885,425 PINE STREET,2018-04-17,Residential,BROOKLYN,11208,40.675117,-73.870879,East New York
895,329 WEST 101ST ST,2018-01-25,Residential,MANHATTAN,10025,40.798697,-73.971452,Upper West Side
898,145 EAST 23RD STREET,2018-04-11,Residential,MANHATTAN,10010,40.739342,-73.984324,Gramercy
899,3366 DECATUR AVENUE,2018-02-14,Residential,BRONX,10467,40.877681,-73.872884,Norwood
908,160 EAST 84TH ST AKA   1484 3RD AVENUE,2018-01-09,Commercial,MANHATTAN,10028,40.77789,-73.955878,Upper East Side-Carnegie Hill
923,424 WEST BROADWAY,2018-01-17,Commercial,MANHATTAN,10012,40.725141,-74.001447,SoHo-TriBeCa-Civic Center-Little Italy
934,4769 WHITE PLAINS RO AD,2018-01-29,Residential,BRONX,10470,40.90524,-73.849534,Woodlawn-Wakefield
940,240 EAST 39TH STREET,2018-06-11,Residential,MANHATTAN,10016,40.748313,-73.974545,Murray Hill-Kips Bay
951,1046 HOE AVENUE,2018-03-12,Residential,BRONX,10459,40.82435,-73.890513,Hunts Point
960,16 CEDAR STREET,2018-05-14,Residential,BROOKLYN,11221,40.696212,-73.928961,Bushwick South
961,89-14 169TH STREET,2018-03-26,Residential,QUEENS,11432,40.709004,-73.792053,Jamaica
962,40-38 82ND STREET,2018-02-27,Residential,QUEENS,11373,40.746495,-73.883741,Elmhurst
965,101 BEDFORD AVENUE,2018-02-08,Residential,BROOKLYN,11211,40.720299,-73.955068,North Side-South Side
966,240 CROWN STREET,2018-02-23,Residential,BROOKLYN,11225,40.66638,-73.95265,Crown Heights South
968,43-05 44TH STREET,2018-02-21,Residential,QUEENS,11104,40.744832,-73.920251,Hunters Point-Sunnyside-West Maspeth
969,215 E. 96TH STREET,2018-05-15,Residential,MANHATTAN,10128,40.784795,-73.948369,East Harlem South
1002,2064 BERGEN STREET,2018-01-19,Residential,BROOKLYN,11233,40.674025,-73.912141,Ocean Hill
1004,1022 EAST 81ST ST,2018-03-27,Residential,BROOKLYN,11236,40.633851,-73.910119,Canarsie
1005,618 WEST 136TH STREET,2018-03-14,Residential,MANHATTAN,10031,40.821048,-73.95526,Manhattanville
1009,3301 NOSTRAND AVENUE,2018-01-16,Residential,BROOKLYN,11229,40.60372,-73.942502,Madison
1015,1737 JARVIS AVENUE,2018-05-03,Residential,BRONX,10461,40.846646,-73.829877,Pelham Bay-Country Club-City Island
1021,1055 SECOND AVENUE APARTMENT 2D,2018-05-16,Residential,MANHATTAN,10022,40.758378,-73.965983,Turtle Bay-East Midtown
1025,140-60 BEECH AVE,2018-02-09,Residential,QUEENS,11355,40.754651,-73.822958,Flushing
1034,8811 BEDELL LANE,2018-02-01,Residential,BROOKLYN,11236,40.643116,-73.911461,Canarsie
1037,1985 CRESTON AVENUE,2018-02-26,Residential,BRONX,10453,40.851002,-73.906428,Mount Hope
1039,1015 BOYNTON AVENUE,2018-04-06,Residential,BRONX,10472,40.824416,-73.877256,Soundview-Bruckner
1041,1069 LAFAYETTE AVENUE - APT 4-L,2018-02-05,Residential,BROOKLYN,11221,40.692421,-73.929286,Stuyvesant Heights
1043,1011 NEILSON STREET,2018-01-11,Residential,QUEENS,11691,40.603468,-73.747719,Far Rockaway-Bayswater
1049,285 HEMLOCK STREET,2018-02-05,Residential,BROOKLYN,11208,40.682871,-73.870926,Cypress Hills-City Line
1050,141 EAST 21ST STREET,2018-03-01,Residential,BROOKLYN,11226,40.651111,-73.960138,Flatbush
1060,1755 JARVIS AVENUE,2018-04-23,Residential,BRONX,10461,40.846866,-73.830018,Pelham Bay-Country Club-City Island
1084,2188 CRESTON AVE,2018-06-22,Residential,BRONX,10453,40.855563,-73.902376,Fordham South
1085,227 HAVEN AVENUE,2018-04-24,Residential,MANHATTAN,10033,40.847849,-73.94215,Washington Heights South
1096,9513 THIRD AVENUE,2018-02-16,Residential,BROOKLYN,11209,40.617069,-74.033664,Bay Ridge
1097,1754 HOBART AVENUE,2018-01-25,Residential,BRONX,10461,40.846551,-73.830839,Pelham Bay-Country Club-City Island
1106,150 WEST 197TH ST,2018-05-16,Residential,BRONX,10468,40.87239,-73.901549,Van Cortlandt Village
1119,90 RICHMOND HILL RD.,2018-04-25,Residential,STATEN ISLAND,10314,40.587652,-74.165359,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
1125,2344 HOLLAND AVENUE,2018-03-15,Residential,BRONX,10467,40.860406,-73.865549,Bronxdale
1130,2121 WESTBURY COURT A/K/A 668A FLATBUSH AVE.,2018-04-02,Commercial,BROOKLYN,11225,40.656751,-73.960272,Prospect Lefferts Gardens-Wingate
