,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
21,87 HAMILTON PLACE,2017-11-08,Residential,MANHATTAN,10031,40.823008,-73.95067,Hamilton Heights
33,337 CHESTER STREET,2017-08-21,Residential,BROOKLYN,11212,40.663349,-73.910083,Brownsville
35,169-28 110TH RD,2017-08-21,Residential,QUEENS,11433,40.694871,-73.782987,South Jamaica
50,1344 UNIVERSITY AVEN UE,2017-12-05,Residential,BRONX,10452,40.841382,-73.926717,Highbridge
63,801 ROGERS AVENUE,2017-07-18,Commercial,BROOKLYN,11226,40.651229,-73.95252,Prospect Lefferts Gardens-Wingate
73,610 WEST 143RD ST,2017-10-17,Residential,MANHATTAN,10031,40.825309,-73.951828,Hamilton Heights
84,33-13 103RD STREET,2017-08-10,Residential,QUEENS,11368,40.75721,-73.865588,North Corona
110,41-32 53 STREET,2017-10-31,Residential,QUEENS,11377,40.744974,-73.911416,Hunters Point-Sunnyside-West Maspeth
112,6910 AVENUE U,2017-09-01,Residential,BROOKLYN,11234,40.618981,-73.908752,Georgetown-Marine Park-Bergen Beach-Mill Basin
122,3024 BRIGHTON 6TH ST REET,2017-09-15,Commercial,BROOKLYN,11235,40.578863,-73.961942,Brighton Beach
124,265 E. 66TH STREET,2017-07-24,Residential,MANHATTAN,10065,40.765063,-73.961474,Lenox Hill-Roosevelt Island
129,145 HENRY STREET,2017-08-30,Residential,BROOKLYN,11201,40.696398,-73.99352,Brooklyn Heights-Cobble Hill
130,665 ALLERTON AVENUE,2017-07-20,Residential,BRONX,10467,40.86541,-73.868626,Bronxdale
134,195-01 118TH AVENUE,2017-09-14,Residential,QUEENS,11412,40.691932,-73.756128,St. Albans
143,283 EAST 95TH ST.,2017-12-06,Residential,BROOKLYN,11212,40.659605,-73.921297,Rugby-Remsen Village
145,2615 GRAND CONCOURSE,2017-08-16,Residential,BRONX,10468,40.864998,-73.895204,Bedford Park-Fordham North
147,716 EAST 181ST STR    ROOM #3,2017-11-29,Residential,BRONX,10457,40.848641,-73.887589,East Tremont
150,515 WEST 139 STREET,2017-11-28,Residential,MANHATTAN,10031,40.821732,-73.951036,Hamilton Heights
151,100 ERSKINE PLACE,2017-11-21,Residential,BRONX,10475,40.86146,-73.82121,Co-op City
153,2820 BAILEY AVENUE,2017-12-11,Residential,BRONX,10463,40.87379,-73.90526,Van Cortlandt Village
161,4 RIVER ROAD,2017-10-12,Residential,MANHATTAN,10044,40.764481,-73.9474,Lenox Hill-Roosevelt Island
164,805 FAIRMOUNT PLACE,2017-10-25,Residential,BRONX,10460,40.842664,-73.888943,East Tremont
169,261 W. 21ST ST. AKA 216-218 8TH AVE.,2017-10-16,Commercial,MANHATTAN,10011,40.743808,-73.998921,Hudson Yards-Chelsea-Flatiron-Union Square
172,3144 DECATUR AVENUE,2017-10-26,Residential,BRONX,10467,40.872478,-73.876824,Norwood
176,65 HOLLAND AVENUE,2017-12-18,Residential,STATEN ISLAND,10303,40.638842,-74.17124,Mariner's Harbor-Arlington-Port Ivory-Graniteville
184,67-69 ST. NICHOLAS AVENUE,2017-10-18,Residential,MANHATTAN,10026,40.801076,-73.952539,Central Harlem South
187,710 EUCLID AVENUE,2017-10-20,Residential,BROOKLYN,11208,40.669503,-73.87049,East New York
200,3484 CORSA AVENUE,2017-08-08,Residential,BRONX,10469,40.877933,-73.847928,Eastchester-Edenwald-Baychester
203,1488 STERLING PLACE,2017-10-11,Residential,BROOKLYN,11213,40.671394,-73.929557,Crown Heights North
250,278 ALBANY AVENUE,2017-09-15,Commercial,BROOKLYN,11213,40.670908,-73.939283,Crown Heights North
261,241-01 CANEY ROAD,2017-07-24,Residential,QUEENS,11422,40.661499,-73.740103,Rosedale
264,1131 AVENUE Z,2017-10-27,Residential,BROOKLYN,11235,40.587472,-73.958931,Homecrest
266,876 LINCOLN PLACE,2017-10-20,Residential,BROOKLYN,11213,40.670626,-73.947135,Crown Heights North
278,119-27 165TH STREET,2017-10-31,Residential,QUEENS,11434,40.682601,-73.779963,Baisley Park
289,824 E. 161ST ST.,2017-11-14,Residential,BRONX,10459,40.820663,-73.902113,Melrose South-Mott Haven North
291,1184 CROMWELL AVENUE,2017-08-29,Residential,BRONX,10452,40.835492,-73.922639,West Concourse
299,146-150 WEST 25TH ST,2017-09-01,Commercial,MANHATTAN,10001,40.744752,-73.993233,Hudson Yards-Chelsea-Flatiron-Union Square
311,61 EAST 182 STREET,2017-09-25,Residential,BRONX,10453,40.85693,-73.903325,Fordham South
312,54-81 ALMEDA AVENUE,2017-12-13,Residential,QUEENS,11692,40.597546,-73.7877,Hammels-Arverne-Edgemere
325,112 EAST 116TH STREET - APT 4,2017-11-08,Residential,MANHATTAN,10029,40.799016,-73.942572,East Harlem North
331,400 HERKIMER STREET,2017-09-07,Residential,BROOKLYN,11213,40.67911,-73.940058,Crown Heights North
332,7601 21ST AVENUE,2017-10-16,Residential,BROOKLYN,11214,40.608823,-73.990272,Bensonhurst West
338,180 BEACH 117TH ST,2017-08-28,Residential,QUEENS,11694,40.578958,-73.837773,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
