,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
0,256 55TH STREET,2018-10-25,Residential,BROOKLYN,11220,40.645572,-74.018659,Sunset Park West
13,309 MACDOUGAL STREET,2018-10-26,Residential,BROOKLYN,11233,40.680596,-73.908289,Ocean Hill
20,1809 ALBEMARLE ROAD,2018-10-30,Residential,BROOKLYN,11226,40.647038,-73.962418,Flatbush
30,332 ROGERS AVENUE,2018-09-05,Residential,BROOKLYN,11225,40.665153,-73.953735,Crown Heights South
43,2728 YATES AVENUE,2018-10-10,Residential,BRONX,10469,40.865981,-73.854738,Allerton-Pelham Gardens
46,922 LINCOLN PLACE,2018-12-19,Residential,BROOKLYN,11213,40.670566,-73.946046,Crown Heights North
60,333 MARTENSE STREET,2018-09-05,Residential,BROOKLYN,11226,40.651792,-73.948007,Erasmus
65,45-67 W. TREMONT AVE,2018-11-28,Residential,BRONX,10453,40.85136,-73.911932,University Heights-Morris Heights
70,1655 UNDERCLIFF AVEN UE,2018-08-15,Residential,BRONX,10453,40.849424,-73.921759,University Heights-Morris Heights
72,545 WEST 158TH STREET,2018-10-19,Residential,MANHATTAN,10032,40.834027,-73.942845,Washington Heights South
83,174 BAY 25TH STREET,2018-11-21,Residential,BROOKLYN,11214,40.600567,-74.001253,Bath Beach
95,1235 MORRIS AVENUE,2018-07-10,Residential,BRONX,10456,40.83402,-73.913665,East Concourse-Concourse Village
103,480 WEST 187TH ST,2018-11-27,Residential,MANHATTAN,10033,40.851736,-73.927858,Washington Heights North
107,2069 60TH STREET,2018-09-20,Residential,BROOKLYN,11204,40.61845,-73.981323,Borough Park
109,1501 VOORHIES AVENUE,2018-07-23,Residential,BROOKLYN,11235,40.585744,-73.953747,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
111,10-22 FAIRVIEW AVE,2018-10-30,Residential,MANHATTAN,10040,40.857289,-73.928557,Washington Heights North
121,1234 STANLEY AVENUE,2018-10-26,Residential,BROOKLYN,11208,40.665966,-73.863998,East New York
131,991 UNION AVENUE,2018-11-15,Residential,BRONX,10459,40.823745,-73.901455,Morrisania-Melrose
132,1165 WASHINGTON AVENUE,2018-08-10,Residential,BRONX,10456,40.829989,-73.907639,Claremont-Bathgate
152,177 NAGLE AVENUE,2018-10-12,Residential,MANHATTAN,10034,40.861686,-73.92446,Marble Hill-Inwood
154,301 WEST 45TH STREET,2018-10-23,Residential,MANHATTAN,10036,40.759351,-73.988814,Clinton
162,140-60 BEECH AVE,2018-07-31,Residential,QUEENS,11355,40.754651,-73.822958,Flushing
167,292 BUTTRICK AVENUE,2018-08-09,Residential,BRONX,10465,40.815653,-73.824722,Schuylerville-Throgs Neck-Edgewater Park
174,1125 SHERIDAN AVE,2018-10-09,Residential,BRONX,10456,40.832157,-73.917888,East Concourse-Concourse Village
177,739 EAST 182ND ST,2018-11-05,Residential,BRONX,10457,40.849734,-73.885476,Belmont
191,1112 DEAN STREET,2018-09-13,Residential,BROOKLYN,11216,40.677145,-73.953323,Crown Heights North
194,5410 5TH AVENUE,2018-12-13,Residential,BROOKLYN,11220,40.642748,-74.012785,Sunset Park West
210,143-07 SANFORD AVE,2018-08-29,Residential,QUEENS,11355,40.758332,-73.822689,Flushing
215,1 ADRIAN AVENUE,2018-07-24,Residential,MANHATTAN,10463,40.875895,-73.912471,Marble Hill-Inwood
217,35-37 12TH STREET,2018-09-13,Residential,QUEENS,11106,40.761828,-73.938478,Queensbridge-Ravenswood-Long Island City
223,684 EAST 189TH STREET,2018-10-19,Residential,BRONX,10458,40.856229,-73.883704,Belmont
225,187-19 WILLIAMSON AVENUE,2018-11-05,Residential,QUEENS,11413,40.681249,-73.755958,St. Albans
235,150-02 88TH AVENUE,2018-12-14,Residential,QUEENS,11432,40.705775,-73.80579,Briarwood-Jamaica Hills
240,414 BALTIC STREET,2018-11-28,Residential,BROOKLYN,11217,40.683736,-73.989017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
275,993 INTERVALE AVENUE,2018-09-06,Residential,BRONX,10459,40.822934,-73.896882,Longwood
284,1252 39TH STREET,2018-08-22,Residential,BROOKLYN,11218,40.641255,-73.987352,Borough Park
287,97-11 103 AVENUE,2018-11-01,Residential,QUEENS,11417,40.682839,-73.843044,Woodhaven
294,4643 BRONX BOULEVARD,2018-12-03,Residential,BRONX,10470,40.904145,-73.854362,Woodlawn-Wakefield
297,108-30 51ST AVENUE,2018-07-27,Residential,QUEENS,11368,40.744251,-73.854192,Corona
305,148-44 89TH AVENUE,2018-09-04,Residential,QUEENS,11435,40.704232,-73.807234,Jamaica
306,775 EAGLE AVENUE,2018-09-13,Residential,BRONX,10456,40.819731,-73.909449,Melrose South-Mott Haven North
316,2244 CRESTON AVENUE,2018-11-19,Residential,BRONX,10453,40.856808,-73.9015,Fordham South
322,60 EAST 177TH  STREET,2018-10-29,Residential,BRONX,10453,40.849823,-73.908833,Mount Hope
330,126 ALBANY AVENUE,2018-08-31,Residential,BROOKLYN,11213,40.676389,-73.938766,Crown Heights North
335,1340 NOBLE AVENUE,2018-07-24,Residential,BRONX,10472,40.833382,-73.870594,West Farms-Bronx River
344,1997 DAVIDSON AVENUE,2018-07-18,Residential,BRONX,10453,40.852752,-73.909483,University Heights-Morris Heights
346,617 COURTLANDT AVE,2018-10-24,Residential,BRONX,10451,40.818173,-73.918834,Melrose South-Mott Haven North
